id,source,year,title,decision,reason,doi
33,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Towards Fair User Modeling with Survey Guided Learning,UNCERTAIN,IC4(fair user modeling via survey), context and method unclear from abstract,10.1109/FMLDS67896.2025.00075
34,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Assessment of mmWave Handset Arrays in the Presence of the User Body,EXCLUDE,"context – mmWave antenna arrays, irrelevant",10.1109/LAWP.2021.3095352
35,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Lifelong Learning and Personalization in Long-Term Human-Robot Interaction (LEAP-HRI),EXCLUDE,EC4/context – HRI workshop, robot tutoring not built environment,10.1109/HRI53351.2022.9889477
36,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,User Learning In Interactive Data Exploration,EXCLUDE,context – interactive data exploration/databases,10.1109/ICDE60146.2024.00460
37,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Effectiveness of LLMs in Temporal User Profiling for Recommendation,EXCLUDE,EC2 – LLMs for recommendation system user profiling,10.1109/ICDMW69685.2025.00283
38,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2026,Multimodal Reinforcement Learning for Game Recommendation using Dual-Discriminator PPO Framework,EXCLUDE,EC2 – game recommendation via RL/GAN,10.1109/COMSNETS67989.2026.11418281
39,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Exploring the Integration of Extended Reality and AI in the Diagnosis and Support of Mental Health Disorders,UNCERTAIN,"IC4(mental health, psychological), XR+AI methods, IC5 not built environment – mental health/therapy context",10.1109/INISTA68122.2025.11249661
40,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Lifelong Learning and Personalization in Long-Term Human-Robot Interaction (LEAP-HRI): Overcoming Inequalities with Adaptation,UNCERTAIN,IC3(foundation models in robots), IC4(personalization), IC5 not built environment – HRI/robotics,10.1109/HRI61500.2025.10973812
41,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Research on Aesthetic Preference Algorithms and Models for Short Video Creation Based on Deep Learning,EXCLUDE,EC2 – short video platform aesthetic recommendation,10.1109/ICSECE65727.2025.11257040
42,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Cross Regional User Preference Modeling for Agricultural E Commerce Platforms via Federated Graph Neural Networks,EXCLUDE,EC2 – agricultural e-commerce recommendation,10.1109/ICAID65275.2025.11034499
43,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,EngageMe: Enhancing Academic Performance While Watching Video Learning Objects Using Visual Modifications,EXCLUDE,context – educational video engagement,10.1109/IST64061.2024.10843580
44,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Fuzzy Logic for Evaluating the Acquisition of Soft Skills Through Adaptive Scenarios in Game-Based Learning: The Case of EPATHLO,EXCLUDE,context – educational game-based learning,10.1109/IISA66859.2025.11311268
45,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Research on News Recommendation Algorithm Based on Deep Learning,EXCLUDE,EC2 – news recommendation deep learning,10.1109/AIAC63745.2024.10899545
46,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Deep Learning for Adverse Event Detection From Web Search,EXCLUDE,EC2/context – web search adverse event detection,10.1109/TKDE.2020.3017786
47,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,Improving Sample Efficiency of Deep Learning Models in Electricity Market,EXCLUDE,context – electricity market deep learning,10.1109/TPWRS.2022.3214432
48,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,AI-Integrated AR as an Intelligent Companion for Industrial Workers: A Systematic Review,UNCERTAIN,IC5 borderline (industrial built environment), AI+AR + adaptive worker assistance, IC3 and IC4 unclear,10.1109/ACCESS.2024.3516536
49,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Modeling students’ flow experience through data logs in gamified educational systems,EXCLUDE,context – gamified educational systems,10.1109/ICALT52272.2021.00037
50,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Personalized News Recommendation Towards the Era of LLMs: Review and Prospect,EXCLUDE,EC2 – personalized news recommendation survey (LLM era),10.1109/TKDE.2025.3581806
51,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,SimCURL: Simple Contrastive User Representation Learning from Command Sequences,EXCLUDE,context – software command sequence user modeling,10.1109/ICMLA55696.2022.00186
52,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,(NBCI) Natural Brain (Human) and Computer Interaction: Development of User Experience with Computers through Adaptive Interface Method,UNCERTAIN,"IC4(HCI, adaptive interface, user experience), context is generic HCI, IC3 and IC5 unclear",10.1109/ICACITE60783.2024.10617342
53,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,"A Survey of Knowledge Tracing: Models, Variants, and Applications",EXCLUDE,context – knowledge tracing in education,10.1109/TLT.2024.3383325
54,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Personality-Aware Product Recommendation System Based on User Interests Mining and Metapath Discovery,EXCLUDE,EC2 – personality-aware product recommendation on social networks,10.1109/TCSS.2020.3037040
55,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Understanding WeChat User Preferences and “Wow” Diffusion,EXCLUDE,EC2 – WeChat social platform preferences,10.1109/TKDE.2021.3064233
56,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,From Anticipation to Action: Data Reveal Mobile Shopping Patterns During a Yearly Mega Sale Event in China,EXCLUDE,EC2 – mobile shopping behavior analysis,10.1109/TKDE.2020.3001558
57,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Multi-Site User Behavior Modeling and Its Application in Video Recommendation,EXCLUDE,EC2 – multi-site video recommendation,10.1109/TKDE.2019.2926078
58,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,DASKT: A Dynamic Affect Simulation Method for Knowledge Tracing,EXCLUDE,context – educational knowledge tracing with affect,10.1109/TKDE.2025.3526584
59,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,Dungeons & Replicants II: Automated Game Balancing Across Multiple Difficulty Dimensions via Deep Player Behavior Modeling,EXCLUDE,context – video game balancing via player behavior modeling,10.1109/TG.2022.3167728
60,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,ChOracle: A Unified Statistical Framework for Churn Prediction,EXCLUDE,EC2/context – user churn prediction in online services,10.1109/TKDE.2020.3000456
61,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Energy Urban Domain: Personalized Evaluation of Expert and Non-Expert Stakeholder Interaction With Artificial Intelligence Through ChatGPT Using the VIRTSI Model,UNCERTAIN,"IC3(ChatGPT/generative AI)+IC4(trust, interaction styles of stakeholder groups), IC5 borderline – urban energy management, not smart building specifically",10.1109/ACCESS.2025.3557907
62,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,Online POI Recommendation: Learning Dynamic Geo-Human Interactions in Streams,EXCLUDE,EC2 – online POI recommendation,10.1109/TBDATA.2022.3215134
63,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,KEMIM: Knowledge-Enhanced User Multi-Interest Modeling for Recommender Systems,EXCLUDE,EC2 – knowledge-enhanced user multi-interest modeling for recommendation,10.1109/ACCESS.2023.3264550
64,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Towards User-Awareness in Human-Robot Collaboration for Future Cyber-Physical Systems,UNCERTAIN,"IC4(user-awareness, cognitive capabilities)+IC5 borderline(industrial CPS/manufacturing), IC3 unclear, HRI manufacturing context",10.1109/ETFA45728.2021.9613144
65,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,A Review of User Profiling Based on Social Networks,EXCLUDE,EC2 – user profiling based on social networks review,10.1109/ACCESS.2024.3430987
66,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Automated Scoring of Asynchronous Interview Videos Based on Multi-Modal Window-Consistency Fusion,EXCLUDE,context – automated scoring of video interviews (HR/personality),10.1109/TAFFC.2023.3294335
67,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,Modeling User Demand Evolution for Next-Basket Prediction,EXCLUDE,EC2 – next-basket prediction for e-commerce,10.1109/TKDE.2022.3231018
68,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Domain-oriented News Recommendation in Security Applications,EXCLUDE,EC2 – news recommendation for security intelligence,10.1109/ISI53945.2021.9624817
69,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Multi-level News Recommendation via Modeling Candidate Interactions,EXCLUDE,EC2 – news recommendation,10.1109/ICBDA55095.2022.9760340
70,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,A Hybrid Recommendation Integrating Semantic Learner Modelling and Sentiment Multi-Classification,EXCLUDE,context – educational hybrid recommendation with sentiment,10.13052/jwe1540-9589.2141
71,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Trust Decay-Based Temporal Learning for Dynamic Recommender Systems With Concept Drift Adaptation,EXCLUDE,EC2 – trust decay in recommender systems,10.1109/ACCESS.2025.3583186
72,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Effect of Short-Form Videos on Student Attention,EXCLUDE,EC2/context – short-form video effect on student attention,10.1109/IST64061.2024.10843554
73,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,A Fuzzy Signature-Based Approach for Recommendation Systems,EXCLUDE,EC2 – fuzzy signature recommendation systems,10.1109/FUZZ-IEEE60900.2024.10611895
74,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Cascade Popularity Prediction: A Multi-View Learning Approach With Socialized Modeling,EXCLUDE,EC2 – cascade popularity prediction in social networks,10.1109/TNSE.2025.3525717
75,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Recommending Restaurants based on Classification of Photos from the Gallery of Mobile Device,EXCLUDE,EC2 – restaurant recommendation from phone photos,10.1109/SISY56759.2022.10036249
76,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Personalized Feature Importance Ranking for Affect Recognition From Behavioral and Physiological Data,EXCLUDE,context – affect recognition from in-game behavioral data,10.1109/TG.2023.3263070
77,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Real-Time EEG-Based Analysis of Stress-Inducing Stimuli,EXCLUDE,context – EEG stress analysis,10.1109/IKT65497.2024.10892676
78,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,A probabilistic perspective on nearest neighbor for implicit recommendation,EXCLUDE,EC2 – nearest neighbor recommendation,10.1109/ICDMW53433.2021.00011
79,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Tricolore: Multi-Behavior User Profiling for Enhanced Candidate Generation in Recommender Systems,EXCLUDE,EC2 – multi-behavior user profiling for recommendation,10.1109/TKDE.2025.3558503
80,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,EmoNet Deep Learning for Emotion Classification in Social Media Content Analysis,EXCLUDE,EC2 – social media emotion classification,10.1109/ACCAI61061.2024.10601801
81,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Cross-Domain Event Participant Prediction with Public Event Description,EXCLUDE,EC2/context – event participant prediction,10.1109/IIAIAAI55812.2022.00017
82,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,Social Network Data Enabling Smart Tourism,EXCLUDE,EC2/context – social network data for smart tourism,10.1109/IISA59645.2023.10345898
83,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,An Improved Hybrid Recommender System: Integrating Document Context-Based and Behavior-Based Methods,EXCLUDE,EC2 – hybrid recommender system,10.1109/ICEE59167.2023.10334913
84,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Your Cursor Reveals: On Analyzing Workers’ Browsing Behavior and Annotation Quality in Crowdsourcing Tasks,EXCLUDE,context – crowdsourcing worker browsing behavior,10.1109/ACCESS.2022.3212080
85,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,A Live Concert Performance Recommender System Utilizing User Ideal and Antithesis Ideal Setlist Preferences,EXCLUDE,EC2 – concert performance recommendation,10.1109/IIAI-AAI-Winter61682.2023.00067
86,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Emotional Intelligence-Based Music Recommendation System Using Hybrid Deep Neural Network,EXCLUDE,EC2 – emotion-based music recommendation,10.1109/IC-CGU58078.2024.10530669
87,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,A Review of Approaches and Challenges in Recommender Systems: From Classical Algorithms to Deep Learning Hybrids,EXCLUDE,EC2 – recommender systems survey (DL hybrids),10.1109/CISES66934.2025.11264983
88,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Indeterminacy in Affective Computing: Considering Meaning and Context in Data Collection Practices,EXCLUDE,context – affective computing and emotion prediction (generic),10.1109/ACIIW63320.2024.00036
89,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Collaborative Enhancement of Long-term and Short-term Interests with Diffusion Optimization for Conversational Recommendation,EXCLUDE,EC2 – conversational recommendation with diffusion,10.1109/IJCNN64981.2025.11228512
90,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Assessing the Influence of Time on Features for the Prediction of User Dropout,EXCLUDE,context – user dropout prediction in online training,10.1109/ICTAI56018.2022.00156
91,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Simultaneous Inference of Preference and Expertise for Adaptive Interaction,UNCERTAIN,"IC3(Bayesian IRL)+IC4(preference, expertise as user traits, adaptive interaction), IC5 missing – generic digital environment",10.1109/HSI66212.2025.11142419
92,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2026,Graph-Based Multimodal DQN with Ranking Aware Learning for News Recommendation,EXCLUDE,EC2 – news recommendation with GNN,10.1109/IEMENTech202669403.2026.11434138
93,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Coin Catcher: A Mobile Serious Game to Predict the Morality Personality Trait,EXCLUDE,context – mobile game for personality trait prediction,10.1109/CoG64752.2025.11114268
94,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2026,CogRec: Neural Cognitive-Style Modeling for Adaptive Learning Path Recommendation in Communication-Centric Environments,EXCLUDE,context – cognitive-style modeling for educational recommendation,10.1109/ICCCES62661.2026.11436899
95,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Unsupervised Learning of Domain-Independent User Attributes,EXCLUDE,EC2 – domain-independent user attribute learning (e-commerce),10.1109/ACCESS.2022.3220781
96,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Posteriori Trust: Behavior Driven Trust on a Network Graph at Scale,EXCLUDE,context – mobile network trust for robocalling,10.1109/BigData55660.2022.10020705
97,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Enhancing Learning Performance through LLM-Driven Adaptive Contents Based on Facial Engagement Detection,EXCLUDE,context – LLM + facial emotion for educational personalization,10.1109/CSICC65765.2025.10967446
98,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2026,Real-Time Identification of Personality Traits Based on User Navigation Behavior,UNCERTAIN,"IC4(personality traits, real-time inference)+IC3(integrated adaptive approach), IC5 not built environment – digital navigation behavior",10.1109/THMS.2026.3663415
99,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Wavelet-RSF Method for Multimodal Skin Lesion Analysis and Early Skin Cancer Diagnosis Using Deep Learning,EXCLUDE,"EC4 – abstract mismatch (skin cancer title, recommender abstract), likely mislabeled entry",10.1109/WorldSUAS66815.2025.11199269
100,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Analysis Of Learning Confidence Using Multimodal Neurophysiological Data,EXCLUDE,context – EEG learning confidence in education,10.1109/ICBME64381.2024.10895259
101,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,An End-to-End Neural Network Using Fusion Attention Mechanism for Session-Based News Recommendation,EXCLUDE,EC2 – session-based news recommendation,10.1109/ICNLP65360.2025.11108646
102,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2026,DPBL: Denoised Player Behavior Representation Learning,EXCLUDE,context – video game player behavior representation learning,10.1109/TG.2025.3601181
103,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,SmartTarget-Algo: Cross-Domain User Interest Modeling System via Graph Neural Networks,EXCLUDE,EC2 – cross-domain user interest modeling with GNN for advertising,10.1109/ICICNIS66685.2025.11315828
104,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2024,Decision Transformer based Target-aware Feature Selection Network for Behavior-oriented Recommendation,EXCLUDE,EC2 – e-commerce sequential recommendation,10.1109/CSCWD61410.2024.10580170
105,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,Data Analytics Framework for Personalized Persuasive Technologies: A Theoretical Approach,UNCERTAIN,"IC4(individual differences, behavioral contexts)+IC3(data analytics), theoretical framework, IC5 not built environment",10.1109/IC3INA68387.2025.11325406
106,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,Responsible Imputation of User Behavior Surveys via Mask-Aware Transformers,EXCLUDE,EC2/context – AdTech survey imputation via transformers,10.1109/ICDMW69685.2025.00129
107,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,Construction of Cross-channel Consumer Behavior Prediction Model Based on Deep Reinforcement Learning,EXCLUDE,EC2 – omni-channel retail consumer behavior prediction (DRL),10.1109/ICEACE67491.2025.11439773
108,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,Unified Graph and Hypergraph Neural Network for Next-item Recommendation,EXCLUDE,EC2 – graph+hypergraph next-item recommendation,10.1109/ICASSP49660.2025.10888372
109,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,Do You Care About Your Positions? Users Under Liquidation Risk in Decentralized Lending Protocol,EXCLUDE,context – decentralized finance (DeFi) user behavior,10.1109/ICBC64466.2025.11114495
110,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2026,Towards Fair and Efficient Intelligent Learning: A Generative Cognitive Diagnosis Approach,EXCLUDE,context – educational generative cognitive diagnosis,10.1109/TLT.2026.3674350
111,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2025,Algorithms for Optimization and Near-Optimization of Time Series of Recommendations Based on Computational Model of Delayed Feedback Series,EXCLUDE,EC2 – recommendation time-series optimization,10.1109/BigData66926.2025.11401840
112,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2026,Personalized Model-Driven Adaptive Task Facilitates Visuomotor Skill Learning Mediated by Promoting Flow Experience,EXCLUDE,context – visuomotor skill learning/rehabilitation,10.1109/THMS.2025.3627559
113,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2024,Analyzing The Impact Of Sleep Quality On Cognitive Abilities Using Game-Based Assessment,EXCLUDE,context – sleep quality and cognitive ability (gaming assessment),10.1109/IST64061.2024.10843632
114,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2021,A Reinforcement Learning Approach for User Preference-Aware Energy Sharing Systems,EXCLUDE,EC1/context – energy sharing system with RL for energy market,10.1109/TGCN.2021.3077854
115,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2021,Code generation technology and reliability analysis based on structure flow chart,EXCLUDE,context – software code generation,
116,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2024,NQNR: News Recommendation Method Based on News Quality-Aware Modeling,EXCLUDE,EC2 – news recommendation based on quality modeling,10.1109/SMC54092.2024.10831543
117,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2024,"Developing an Anti -Phishing Large Language Model: A Focus Group Study on Human, Technological, and Legal Factors",EXCLUDE,context – anti-phishing LLM (cybersecurity),10.1109/IISA62523.2024.10786667
118,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.30,2024,User-driven Relevant News Update System (U.R.A.N.U.S),EXCLUDE,EC2 – news recommendation system review,10.1109/CONIT61985.2024.10627111
